               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 111,            0.021017,           0.0081136,            0.013698,             0.79746,             0.62164,             0.64639,             0.57951,            0.024549,           0.0034787,            0.013099,             0.00637,             0.00637,             0.00637
                 112,            0.019448,           0.0074358,            0.012633,             0.80161,             0.60016,             0.70898,             0.62527,            0.026184,           0.0035761,            0.016714,            0.006337,            0.006337,            0.006337
                 113,            0.020181,           0.0076969,            0.013615,             0.82518,             0.68468,             0.66655,             0.58578,            0.027065,           0.0037277,            0.017393,            0.006304,            0.006304,            0.006304
                 114,            0.021847,           0.0070991,            0.016019,             0.76899,             0.67716,             0.65687,             0.57563,            0.025604,           0.0042662,            0.019252,            0.006271,            0.006271,            0.006271
                 115,            0.022233,           0.0078864,            0.014413,             0.85055,             0.67303,             0.67037,             0.59519,            0.026089,           0.0038118,            0.017753,            0.006238,            0.006238,            0.006238
                 116,            0.021131,           0.0083632,            0.012341,             0.82495,             0.58605,             0.65613,             0.58984,            0.026205,           0.0034975,            0.016043,            0.006205,            0.006205,            0.006205
                 117,            0.020678,           0.0078742,              0.0129,             0.81034,             0.61091,             0.62705,             0.55119,            0.026753,            0.004382,            0.013241,            0.006172,            0.006172,            0.006172
                 118,            0.018114,           0.0078276,            0.013861,             0.84302,             0.60721,             0.63519,             0.56571,            0.026699,           0.0038403,            0.012124,            0.006139,            0.006139,            0.006139
                 119,            0.020292,           0.0082099,            0.013598,             0.79066,             0.59243,             0.61691,             0.54521,            0.026833,           0.0033496,            0.014926,            0.006106,            0.006106,            0.006106
                 120,             0.02081,           0.0072035,            0.014769,             0.83602,             0.51369,             0.59334,             0.52211,            0.026128,           0.0043507,            0.020758,            0.006073,            0.006073,            0.006073
                 121,            0.021225,           0.0077423,            0.014307,             0.74795,             0.61421,             0.62688,             0.56281,            0.026003,           0.0038235,            0.024644,             0.00604,             0.00604,             0.00604
